sentence,voice_phishing
이 모든 녹취는 피해자 입증하기 위해 법원에 증거자료로 제출할 예정이고요 네 통화하는 과정에서 주변 소음이나 제 삼 자의 목소리 만 19세 이상 이 목소리가 썼을 경우 법원에 증거자료로 채택 대기가 어렵기 때문에 통화하실 때만큼은 돼 제가 방금 말씀드린 접니다 그 전날 유의 부탁드리겠습니다,True
아파서,True
저희 수사기관은 절대적으로 본인에게 어떠한 개인정보나 금전을 요구하지 않고요 본인께서는 이 녹취 수사에 앞서서 있는 그대로의 사실만 지금처럼만 진술 부탁드리겠습니다 네 본인 혹시 지금 계신 위치가 근무중에 계신 직장이십니까 아니면 자택에 계십니까 혹시 직장이시면 조용한 곳으로 자리 이동 가능하십니까 그렇죠 농협 국민 두가지인가요 콜택시 농협은행 같은 경우는 본인께서 계좌 형성 자체를 어떤 용도로 계좌를 형성 하셨으니까 예를 들어서 적금 청약 마이너스 통장 자유입출금 기타 등등 어떤 식으로 형성이 되어 있으시죠 자유입출금 하나씩 하나 밖에 형성이 안되있나요 이게 그니까 월급통장 이 자유입출금이시잖아요 예 이거말고 농협에는 또 다른 계좌는 없으세요 농협은 하나밖에 없으시고요 그렇다면 국민은행은요 네 자유입출금하나 적금 2개요 총 3개의 계좌가 형성 되어있으시네요 국민은행 같은 경우는 그렇다면 현재 본인께서 이거 외에 제 이 금융권이나 저축은행 씨엠에이 계좌 증권계좌 인제 본인 명의로 된 부분이 있으십니까 그런 거 없으시고요 그렇다면 해지 저희 피해자분들 중에 본인 통장에 10만원이 들어있는 줄 알았는데 실제로는 더 큰 금액이 들어 있어서 피해를 보신 분들이 계세요 따라서 현재 본인은 은행권에 마지막까지 거래하시면 잔액이 얼마 정도가 남아 있고 본인의 계좌가 맞는지 그니까 얼마정도에 자금이 형성되어 있어요 본인의 계좌가 맞는지 간략하게 100만원이면 100만원 미만 500만원이면 500만원 미만 1000만원이면 1000만원 미만 이렇게 100만원 단위로만 간략하게 진술한 번 부탁드릴게요,True
다름이 아니라,True
본인 앞으로 발생한 명의도용 고소건으로,True
몇 가지 본인 지금 연락드렸는데 잠시 통화 괜찮으십니까 의정부 지방 검찰청이라고요 저희가 본인에게 개인정보를 여쭤 봤습니까 본인이 운전을 놀고있으니까 본인의 명의가 도용돼서 제가 몇 가지 본인 확인차 연락드렸다고 말씀드렸죠 예처럼 이렇게 뭐 울고싶 팀이 또 있고 의심스러우면 또 의정부 지방 검찰청으로 직접 나오셔서 조사 받으세요 이해 하셨습니까 지금 본인 도와드릴려고 이렇게 연락드렸 지금 뭐하시는 거예요 예 현재 저희가 김성오를주범으로만 금융범죄 사기단을 검거했습니다 본인께서는 혹시 전라남도 광주 태생에 40 대 남성인 김성술 하는사람 알고 계십니까 저희가 인제 그 검토하는 과정에서 지금 대상이 대포 통장과 복제된 신용 카드는학사였는데 현재 그 물품들 사이에서 혹시 본인 명의로 된 농협은행과 하나은행 2개 금융권 통장을 발견했습니다 본인의 통장을 있고 없고를 확인하는 게 아니라요 그 범죄현장에서 발견된 본인명의 통장에 대해서 연락 드린거예요 그런데 저희가 이 2개 통장을 조회해본 결과 2016년도 4월 22일날 경기도 광명시 철산동 지점에서 본인 명의로 2개의 통장 개설이 된 걸로 확인 되었습니다 본인께서는 내방하여 개설하신 사실은 있으신 건가요 전혀 없으시구요 본인이 그렇다면 혹시 최근에 이 삼년 사이에 본인 신분증이나 여권 지갑 본인에 개인정보가 담겨져있는 물건을 분실하시거나부렀당하신 적 없으십니까 본인이 그렇다면 최근 개인정보 유출로 인해서 본인께서는 이용 하시면 해당 은행이나 포털사이트 인터파크나 네이버 페이스북 같은 포탈 매체에서 본인에게 메일이나 문자로 고지받은 시 49만 없으신건가요 보안매체를 다수를 앞서라 했는데요 예 문제는 그 압수된 범죄 현장에서 지금 현찰 본인 명의로 돼 농협은행과 하나은행 2개에 금융권통장을 저희가 발견했습니다 그런데 여기서 의문점이 드는게 제가 이 2개의 통장을 금융감독원을 통해서 조회를 해봤습니다 조회를 해 본 결과 2016년도 4월 22일날 경기도 광명시 철산동 지점에서 현재 본인 명의로 개설이 되었다고 지금 저희가 확인이 되었는데 본인께서 직접 개설하신 사실이 있으십니까 경 경기도 광명시 철산동 지점이세요 없으신거고요 그것도 현재 본인께서는 최근에 이 삼년 사이에 본인의 신분증이나 지갑 본인에 개인정보가 담겨져있는 여권이나 운전면허증을 따로 분실하시거나 도난 당하신 적 없으십니까 현재 본인께서는 최근에 개인정보 유출로 인해서 본인이 이용하시는 해당 은행이나 포털사이트 인터파크나 네이버나 페이스북 같은 매체에서 따로 메일이나 문자로 고지 받으신 내용 있나요 그러니까 없다는건 아니고 본인께서 기억을 못하신다는거죠 편하게 말씀하시면 됩니다 본인은 어떻게 추긍하려고 이렇게 연락드린게아니라요 본인 확인할려고 연락드린거기때문에 그럼 저희가 이번에 이렇게 번호를 조사 할려고하는 항목이 두가지가 있는데요 첫번째는 현재 본인에 사실상 본인 명의의 통장이 개설만 됐으면 큰 문제는 안생기입니다 하지만 여기서의 문제는 저희가 지가 이번에 권고안 김상호 일당 측에서 현재 본인 명의로 개설이 된 2개 2억 금융권 통장을 이용해 가지고 불법 사기 입금계좌로 사용되었습니다 혹시 본인께서 직접 김선환이 일단 금액이 고의적으로 돈을 건네받고 본인 통장을 판매날 양도를 하셨는지 아니시면 현재 본인 또한 개인정보 유출로 인해서 또 다른 PR을 받으신건지 저희가 그 부분에 있어서 조사를 몇 가지 진행하려고 이렇게 본인께 연락드린 겁니다,True
대포 통장이 국민과 누가 우선권이 계좌가 발견돼서 저희가 먼저 이렇게 연락을 드렸고요 제 이름으로 재경이랑 다 기표 통장을 만들었다고요 발견돼서 연락드렸 제가 국민과 농협은행 건이고요 네 두번째에서 본인 명의로 발견 당시에는요 저희가 금융감독에 6000원에도 거래 중지 요청 올려드렸고요 네 일단은 거기서 인제 하는 과정이 일단 저희가 금융권을 조사해 보니까 본인 명의로 된 대포통장 국민에는 1500만원 농협에는 2500만원이 아니라 피해 신고 금액이 좀 들어와있는 상태입니다 네 전화하셨나요 네 불법 좌회전 하나 일단 저희가 긴급 처리하는 필터 도박 세트 운전 확률 권고하는 과정에서 명의로 농협과 국민은행꺼는 또 계좌가 현장에서 관련되었기때문에 연락을 드린거구요 그다음에 본인께서 개인정보 유출로 피해자인지 금전적인 백화점을 받고 대포 통장을 판매한 혐의가 있는지 해서 좀 몇가지 조사차 연락을 드린거예요 저 담당 검사님하고 통해서 피해 신고 접수를 하는걸 도움을 드릴거구요 지금부터 모든 통화내용은 녹취로 진행하겠습니다 지금 아저씨 본인에 대한 개인정보 유출난 피해자 신분을 어디 녹취 진행해드릴게요 예 뭐라 말하진 않았어요 그럼 명예도 개인정보 유출은 피해자고 일단은 저희 이거 법적 증거자료 툭툭 할수 있도록 녹취 진행해 드린다구요 네 동의 하시나요 예 세탁소는 이해는 안되시나요 여기가 어디라 그랬죠 서울중앙지검이고요 금융 범죄 수사팀입니다 제가 알아보고 다시 이 번호로 연락드릴게요 지금 본인 명의로 농협과 국민 간건에 개포 통장이 불법 현장에서 발견된 지금 연락을 드렸습니다 불편 현장에서 발견된이 대포 통장 농협하고 국민은행건에 대해서는 저희가 금융감독원 통해서 바로 거래정지 요청을 올려드렸구요 어 금액 제가 본인께 연락드린 이유는 본인께서 개인정보 유출만 피해자의 인제 금전적인 대가성은 받고 통장을 판매는 양도가 이루어졌는지 해서 조사차 연락드린거고요 어 차후 담당 검사님을 통해서 피해 신고 접수 상단 진행을 좀 하셔야되는 부분이 있습니다 근데 그전에 모든 통화내용은 녹취로 진행이 될거구요 녹취 내용은 지금 본인의 개인정보 유출로 된 피해자 신분으로 녹취가 진행되겁니다 동의하시죠 네 현재 녹취 과정에서 제 삼 자의 음성이나 시끄러운 자문 소리가 들어가게 되면 녹취 과정에 법적 증거자료로 채택이 안 되는 부분이 있기 때문에 이런 부분 두번 주의해 주시구요 지금 녹취 진행해도 되겠습니까 본인확인 좀 다시 할게요 서른셋에 남성 김기철 돈이 알고 있으십니까 2015년 11월 12일 서울시 마포구 도화동 지점에서 본인 명의로 된 농협과 국민은행 통장을 제출하신 사실 여부가 있으십니까 그쪽에 혹시 서울시 마포구에 거주는 하셨나요 2015년 어떤 차 직장이지 학생 신분은 거주하셨나요 지금 현재 본인께서 국민과 농협은행 이용 중이신가요 둘 다 이용 안하시구요 제 금융감독 자료 요청해서 대기실에서 들어갈건데 현재 시간부터 이제 본인이 이용 중이시 모든 금융권 제외하구요 저희가 인제 이 차적으로 대포 통장 유출되서 사용 될수있다는 명분하에 모든 금융권은 거래 정지 요청 올려드릴 거예요 현재 본인께 이용 중이신 건 제외하구요 동의하시죠 현재 본인께서 지금 어느 금융권 이용 중이신가요 새마을금고 붙여야 제외하고 보통 금융권 1시간부터 거래 정지 요청 올려드리겠습니다 여보세요 예 새마을금고 제약을보다는 글로와 거래정지 요청을 해드린다고요 새마을금고 본인께서 일반 입출금 통장 몇개 이용 중이신가요 현재 혹시 적금을 주택청약 텀도 마이너스 통장 이용 중이신가요 둘 다 아무것도 니 원하시고요 새마을금고에 본인이 일반 입체 통장에 돈이 마지막에 확인해서 금액이 대략 어느정도의 계셨나요 네 회원님 현재 고객님 자네 어느정도 금액 계신가요 돈 계좌에 지금 보니 새마을금고 이용중이시라 진술 하신게 맞으시죠 본인 명의로는 지금 이것밖에 없으시다는 거죠 본인 명의로 혹시 부모님이 관리하시는 금융권 있으신가요 본인 명의로 부모님끼리 관리하신 금융권이 주시냐고요,True
대검찰청 근육 조사과 이 팀에 박성호 수사관이라고 해요 예 개인정보 유출로 인한 명의도용 사건때문에 지금 몇 가지 확인 차 연락 드렸고요 잠시 통화가능하세요 본인 혹시 31살의 남성 김철중 알고있으신가요 전혀 모르세요 저희가 이번에 불법 도박사이트 운영 혐의로 공부한 사람이고요 이제 그런걸 현장에서 지금 본인 명의로 농협과 국민은행 새마을금고 세 가지 금융권에 대포 통장이 발견되었습니다 이 발견 당시에는 저희가 일단 금융감독 요청서 바로 거래 정지 요청 올려드렸구요 본인이 없으시니까 이게 개인정보 유출로 인해 명예 등 사건인지 제가 확인차 연락드린거잖아요 그렇게 될거같은 원 받고 타이밍에 통장을 판매 했는지 저것 전략을 드린 겁니다 차후 본인이 담당 검사님 통해서 피해 신고 접수 진행하셔야 되는 부분이 있으시구요 지금부터 모든 통화내용은 녹취가 증인이 안될 겁니다 이 녹취 내용은 지금 본인에 대한 개인정보 유출로이나 명의도용은 사건 내가 법적 증거자료로 채택할수 있는 녹취 내용 이시고요 지금부터 녹취 진행하겠습니다 녹취 과정이니까 본인확인 좀 다시 할게요 서른 한 잔에 낚시점 김현민이나 제가 돈이 알고 있으십니까 그럼 전화로 먼저 본 사건 내용 안내 차 연락드리고 슬쩍고문 나가죠 연락도 안하고 추석 공부나면,True
바쁘고 도와줄겸 해서 본인 명의로 국민은행과 농협은행 통장들이 개별 됐는데 본인께서 지금 붙잡혀 들어갔습니까 저 본인께서는 지금 통장에 대해서는 전혀 모르고 계셨어요 네 통장에 대해서는 전혀 모르고 계셨고요 그럼 우리 2월점에 혹시 어디에 계셨는지 기억나세요 키가 어느쪽이든 지금 아세요 광주인데요 어 일단 지금 저희가 얍 좋아 지금 팀장들이 왜 범죄현장에서 발견된 불법 배달앱 때문에 날짜를 발견찍히 분별 처리 진행을 했어요 그래갖고 분별 처리가 먼저 빼세요 중고차 되는 것은 내가 입출금이 불가능하대 지급전표를 지켜보 거예요 그런데 지금 주문을 된거야 돌려보네 이게 지금 새마을금고 통장들 해가지고 내꺼 주겠지 네가 되시면 될거같아요 지금 들어오시면 세 가지로 내 꿈 같은 경우는 지금 통장을 계좌로 한화하시는 은행이 아예 없으시거든요 국민은행 농협으로도 휘어진거 지금 세 가지로 매꾼 같은 경우는 애초에 지금 통장 개설하신 적이 한번도 없으시더라고요 농협은행 같은 경우는 지금 통장에 아예 없어지진 않으세요 일단 지금 저희가 현재 그 법적으로 사용하시면 그 금융권을 제외하시고 나머지 일 금융권들은 전부 다 동결처리 진행을 했거든요 사용하고 계시네 보냈고 미친 봐야 좀 간단하게 좀 부탁드릴게요 확인 차 연락 드린 건데요 어 혹시 실례지만 기존에 김현민 씨라고 혹시 기존에 하시던 분 계세요 전혀 지금 모르시는 분이세요 어 일단은 지금 김현민 이라는 사람이 그 동대문 쪽에서 함께 부동산이라고 그 공인중개사를 운영했던 사람이에요 근데 이번에 그 불법 도박사이트 우장산이로 지금 저희가 김현민이라는 사람을 권고를했는데 저희가 지금 이 김영민을 그 광고하는 현장에서 그 차량에 신용카드들과 대포 통장들은 악사면서 그중에 지금 명의로 지금 국민은행과 농협은행 그리고 지금 현아야이든 지금 통장들이 발견되서 일단 저희가 좀 확인차 연락 드렸어요 여보세요 혹시 실례지만 지금 통화 혹시 가능하세요 어 저희가 다름이 아니라 이번에 개인정보 유출 사건 관련해서 좀 몇 가지 확인 차 연락 드린 건데요 혹시 실례지만 기존에 김현미씨라고 혹시 기존에하시던 분 계세요 이름이 김현민이고요 삼십 일 세 남성인데,True
잠깐만 아산 복원,True
